boite,ligne,colonne,concentration,date_ponte,data_comptage,entree1,entree2,nb_oeufs,compteur,test
P15,1,4,"1,35",16/08/19,20/08/19,3,3,3,JL,OK
P15,2,1,"0,6",16/08/19,20/08/19,1,1,1,JL,OK
P15,2,2,"1,05",16/08/19,20/08/19,8,8,8,JL,OK
P15,2,3,"1,65",16/08/19,20/08/19,1,1,1,JL,OK
P15,2,4,"0,15",16/08/19,20/08/19,2,2,2,JL,OK
P15,3,1,"1,5",16/08/19,20/08/19,0,0,0,JL,OK
P15,3,2,0,16/08/19,20/08/19,13,13,13,JL,OK
P15,3,3,"0,75",16/08/19,20/08/19,3,3,3,JL,OK
P15,3,4,"0,3",16/08/19,20/08/19,7,7,7,JL,OK
P17,1,1,"0,6",16/08/19,20/08/19,14,14,14,JL,OK
P17,1,2,"0,3",16/08/19,20/08/19,15,15,15,JL,OK
P17,1,3,"1,5",16/08/19,20/08/19,3,3,3,JL,OK
P17,1,4,"1,2",16/08/19,20/08/19,12,12,12,JL,OK
P17,2,1,"1,05",16/08/19,20/08/19,0,0,0,JL,OK
P17,2,2,"0,15",16/08/19,20/08/19,14,14,14,JL,OK
P17,2,3,"1,65",16/08/19,20/08/19,3,3,3,JL,OK
P17,2,4,"0,75",16/08/19,20/08/19,8,8,8,JL,OK
P17,3,1,0,16/08/19,20/08/19,2,2,2,JL,OK
P17,3,2,"0,9",16/08/19,20/08/19,1,1,1,JL,OK
P17,3,3,"1,35",16/08/19,20/08/19,6,6,6,JL,OK
P17,3,4,"0,45",16/08/19,20/08/19,0,0,0,JL,OK
P18,1,1,"0,9",16/08/19,19/08/19,28,28,28,JL,OK
P18,1,2,"0,15",16/08/19,19/08/19,4,4,4,JL,OK
P18,1,3,"1,65",16/08/19,19/08/19,1,1,1,JL,OK
P18,1,4,"1,5",16/08/19,19/08/19,0,0,0,JL,OK
P18,2,1,"1,2",16/08/19,19/08/19,3,3,3,JL,OK
P18,2,2,"1,35",16/08/19,19/08/19,0,0,0,JL,OK
P18,2,3,"0,3",16/08/19,19/08/19,0,0,0,JL,OK
P18,2,4,"0,6",16/08/19,19/08/19,0,0,0,JL,OK
P18,3,1,"0,45",16/08/19,19/08/19,2,2,2,JL,OK
P18,3,2,"0,75",16/08/19,19/08/19,0,0,0,JL,OK
P18,3,3,0,16/08/19,19/08/19,6,6,6,JL,OK
P18,3,4,"1,05",16/08/19,19/08/19,14,14,14,JL,OK
P19,1,1,"1,2",16/08/19,19/08/19,0,0,0,JL,OK
P19,1,2,"1,35",16/08/19,19/08/19,0,0,0,JL,OK
P19,1,3,"0,45",16/08/19,19/08/19,0,0,0,JL,OK
P19,1,4,"0,75",16/08/19,19/08/19,0,0,0,JL,OK
P19,2,1,"1,5",16/08/19,19/08/19,0,0,0,JL,OK
P19,2,2,"1,05",16/08/19,19/08/19,0,0,0,JL,OK
